yr	ty	pi	fi	in
20	earth	Jessica Lundquist	Steven Pestana	19-EARTH20-0030, Improving Cloud-Snow Discrimination and Our Understanding of the Snow Energy Balance in Mountains with Geostationary and Low Earth Orbiting Satellite Data
20	earth	Emmanuel Boss	Guillaume Alexis Bourdin	19-EARTH20-0178, Ecological and Physiological Characteristic of The Island Mass Effect
20	earth	Daniel Chavas	Funing Li	19-EARTH20-0216, Using Multi-Source Satellite Observations to Investigate The Asymmetric Seasonal Cycle of Severe Local Storm Environments Over North America
20	earth	Cedric Fichot	Joshua Paul Harrington	19-EARTH20-0217, Quantifying the Fate of Dissolved Organic Carbon from Stable and Degrading Marshes in the Mississippi River Delta Using Airborne Imaging Spectroscopy and Export Modeling
20	earth	Emily Bernhardt	Audrey Thellman	19-EARTH20-0219, River Ecosystem Phenology in an Increasingly Ice-Free World
20	earth	Xi Yang	Andrew Jablonski	19-EARTH20-0235, The Influence of Functional Trait Assemblages on Drought-Induced Mortality of Trees During The 2012 - 2016 California Drought
20	earth	Sally Pusede	Mary Angelique G Demetillo	19-EARTH20-0242, Evaluating Air Pollution Inequality Using High Spatial Resolution NO2 Remote Sensing Observations
20	earth	Josh Gray	Ian McGregor	19-EARTH20-0300, Toward Near Real-Time Monitoring of Forest Disturbance in Myanmar Using MultiSource Imagery
21	earth	Van Kane	Caden Chamberlain	20-EARTH20-0022, When can Wildfires Improve Forest Resilience to Future Fire and Drought? A Study Using Spaceborne Data
21	earth	Sergio Fagherazzi	Luca Cortese	20-EARTH20-0160, Coupling NASA UAVSAR, Air-SWOT and AVIRIS-NG Imagery with Numerical Modeling to Quantify Sediment Fluxes in Deteriorating Salt Marshes
21	earth	Mark Zondlo	Daniel Moore	20-EARTH20-0290, Characterization of Reactive Nitrogen Emissions from Agriculture
21	earth	T. Caughlin	Andrii Zaiats	20-EARTH20-0326, Integrating UAS, Landsat, and ECOSTRESS to Fit Landscape-Level Demographic Models for Climate-Resilient Ecological Restoration
21	earth	Dar Roberts	Christopher Kibler	20-EARTH20-0327, Drought Sensitivity of Evapotranspiration and Carbon Uptake in Riparian Woodlands
21	earth	Daniel Dawson	Qin Jiang	20-EARTH20-0344, Investigating How Changing Environmental Conditions Favor Tornadoes Shifting Eastward over North America
15	earth	Enrique Vivoni	Tiantian Xiang	Arizona State University
16	astro	Philip Mauskopf	Gordon, Samuel	Arizona State University
